Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01405,,Open,40,40,OPERATING SYSTEM [I],I,-,Theory,Sunday,3:00 PM,5:00 PM,9409,FACULTY OF SCIENCE & TECHNOLOGY
01405,,Open,40,40,OPERATING SYSTEM [I],I,-,Lab,Tuesday,3:00 PM,5:20 PM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01406,,Open,40,40,OPERATING SYSTEM [J],J,-,Theory,Sunday,8:00 AM,10:00 AM,9402,FACULTY OF SCIENCE & TECHNOLOGY
01406,,Open,40,40,OPERATING SYSTEM [J],J,-,Lab,Tuesday,8:00 AM,10:20 AM,DS0103,FACULTY OF SCIENCE & TECHNOLOGY
01407,,Open,40,38,OPERATING SYSTEM [K],K,-,Theory,Sunday,8:00 AM,10:00 AM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01407,,Open,40,38,OPERATING SYSTEM [K],K,-,Lab,Thursday,8:00 AM,10:20 AM,DN0111,FACULTY OF SCIENCE & TECHNOLOGY
01408,,Open,40,40,OPERATING SYSTEM [L],L,-,Theory,Sunday,12:40 PM,2:40 PM,9209,FACULTY OF SCIENCE & TECHNOLOGY
01408,,Open,40,40,OPERATING SYSTEM [L],L,-,Lab,Thursday,12:40 PM,3:00 PM,DS0207,FACULTY OF SCIENCE & TECHNOLOGY
01409,,Open,40,39,OPERATING SYSTEM [M],M,-,Theory,Monday,10:20 AM,12:20 PM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01409,,Open,40,39,OPERATING SYSTEM [M],M,-,Lab,Thursday,10:20 AM,12:40 PM,DS0205,FACULTY OF SCIENCE & TECHNOLOGY
01410,,Open,40,39,OPERATING SYSTEM [N],N,-,Theory,Monday,8:00 AM,10:00 AM,9207,FACULTY OF SCIENCE & TECHNOLOGY
01410,,Open,40,39,OPERATING SYSTEM [N],N,-,Lab,Thursday,8:00 AM,10:20 AM,DS0205,FACULTY OF SCIENCE & TECHNOLOGY
01411,,Open,40,37,OPERATING SYSTEM [O],O,-,Theory,Sunday,8:00 AM,10:00 AM,9210,FACULTY OF SCIENCE & TECHNOLOGY
01411,,Open,40,37,OPERATING SYSTEM [O],O,-,Lab,Thursday,8:00 AM,10:20 AM,DN0212,FACULTY OF SCIENCE & TECHNOLOGY
01412,,Cancel,40,0,PERFORMANCE APPRAISAL MANAGEMENT [A],A,-,Theory,Monday,1:00 PM,2:30 PM,2105,FACULTY OF BUSINESS ADMINISTRATION
01412,,Cancel,40,0,PERFORMANCE APPRAISAL MANAGEMENT [A],A,-,Theory,Wednesday,1:00 PM,2:30 PM,2105,FACULTY OF BUSINESS ADMINISTRATION
01413,,Open,40,38,TRAINING AND DEVELOPMENT [A],A,-,Theory,Sunday,9:40 AM,11:10 AM,2107,FACULTY OF BUSINESS ADMINISTRATION
01413,,Open,40,38,TRAINING AND DEVELOPMENT [A],A,-,Theory,Tuesday,9:40 AM,11:10 AM,2107,FACULTY OF BUSINESS ADMINISTRATION
01414,,Reserved,40,0,HR IN GLOBAL BUSINESS ENVIRONMENT [A],A,-,Theory,Monday,2:40 PM,4:10 PM,2104,FACULTY OF BUSINESS ADMINISTRATION
01414,,Reserved,40,0,HR IN GLOBAL BUSINESS ENVIRONMENT [A],A,-,Theory,Wednesday,2:40 PM,4:10 PM,2104,FACULTY OF BUSINESS ADMINISTRATION
01415,,Open,40,2,FUNDAMENTALS OF COMPENSATION [A],A,-,Theory,Monday,8:00 AM,9:30 AM,2105,FACULTY OF BUSINESS ADMINISTRATION
01415,,Open,40,2,FUNDAMENTALS OF COMPENSATION [A],A,-,Theory,Wednesday,8:00 AM,9:30 AM,2105,FACULTY OF BUSINESS ADMINISTRATION
01416,,Open,40,37,LABOR LAW OF BANGLADESH [A],A,-,Theory,Sunday,11:20 AM,12:50 PM,2109,FACULTY OF BUSINESS ADMINISTRATION
